Level_1_ID,Level_1_Name,Level_1_SP_Global,Level_2_ID,Level_2_Name,Level_2_SP_Global,Level_3_ID,Level_3_Name,Level_3_SP_Global,Level_4_ID,Level_4_Name,Level_4_SP_Global
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,5493004SYPRAVRVNK561,APPLE CANADA INC.,4533716,,,,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,54930027SQL2KPSDBM58,APPLE DISTRIBUTION INTERNATIONAL LIMITED,249324194.0,5493004DRENYD68POX17,APPLE TEKNOLOJİ VE SATIŞ LİMİTED ŞİRKETİ,266014451.0
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,549300GF4NZMYB9VP153,APPLE PTY LIMITED,6469320.0,54930064XZWGVDHF4G62,APPLE SALES NEW ZEALAND,224065848.0
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,5493007Y31O7VTA60Y74,蘋果電腦貿易（上海）有限公司,46984028.0,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,549300QKDHYRRQH2MB86,APPLE (UK) LIMITED,46365431.0,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,549300JTZWECUOC8CW13,애플코리아 유한회사,22706472.0,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,5493004NKTUXS10HUX68,APPLE SOUTH ASIA PTE. LTD.,23049385.0,5493004NRK1XLI2A3K89,Ａｐｐｌｅ Ｊａｐａｎ合同会社,6440293.0
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,549300MGN03W4U2NK749,APPLE OPERATIONS LIMITED,549863809.0,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300G81RQKP7XW2N18,APPLE OPERATIONS INTERNATIONAL LIMITED,5467124,549300XL0CAPYOJAG264,APPLE INDIA PRIVATE LIMITED,79349349.0,,,
HWUPKR0MPOU8FGXBT394,Apple Inc.,24937,549300MF6CNUB2URPE58,APPLE OPERATIONS MEXICO SA DE CV,79349005,,,,,,
